journal_name,publisher,field,tier,author_guidelines_url
American Economic Review,AEA,general,top5,https://www.aeaweb.org/journals/aer/submissions/accepted-articles
Quarterly Journal of Economics,OUP,general,top5,https://academic.oup.com/qje/pages/General_Instructions
Journal of Political Economy,UChicago Press,general,top5,https://www.journals.uchicago.edu/journals/jpe/instruct
Econometrica,Wiley/Econometric Society,general,top5,https://www.econometricsociety.org/publications/econometrica/information-authors
Review of Economic Studies,OUP/Econometric Society,general,top5,https://academic.oup.com/restud/pages/General_Instructions
AER: Insights,AEA,general,top5-adjacent,https://www.aeaweb.org/journals/aeri/submissions/accepted-articles
AEJ: Applied Economics,AEA,applied,top-field,https://www.aeaweb.org/journals/app/submissions/accepted-articles
AEJ: Economic Policy,AEA,policy,top-field,https://www.aeaweb.org/journals/pol/submissions/accepted-articles
AEJ: Macroeconomics,AEA,macro,top-field,https://www.aeaweb.org/journals/mac/submissions/accepted-articles
AEJ: Microeconomics,AEA,micro,top-field,https://www.aeaweb.org/journals/mic/submissions/accepted-articles
Journal of Economic Literature,AEA,general,top-field,https://www.aeaweb.org/journals/jel/submissions/accepted-articles
Journal of Economic Perspectives,AEA,general,top-field,https://www.aeaweb.org/journals/jep/submissions/accepted-articles
Review of Economics and Statistics,MIT Press,general,top-field,https://direct.mit.edu/rest/pages/submission-guidelines
Journal of Labor Economics,UChicago Press,labor,top-field,https://www.journals.uchicago.edu/journals/jole/instruct
Journal of Human Resources,UW Press,labor,top-field,https://jhr.uwpress.org/content/author-guidelines
Journal of Development Economics,Elsevier,development,top-field,https://www.sciencedirect.com/journal/journal-of-development-economics/publish/guide-for-authors
Journal of Public Economics,Elsevier,public,top-field,https://www.sciencedirect.com/journal/journal-of-public-economics/publish/guide-for-authors
Journal of Health Economics,Elsevier,health,top-field,https://www.sciencedirect.com/journal/journal-of-health-economics/publish/guide-for-authors
American Journal of Health Economics,UChicago Press,health,top-field,https://www.journals.uchicago.edu/journals/ajhe/instruct
Journal of International Economics,Elsevier,international,top-field,https://www.sciencedirect.com/journal/journal-of-international-economics/publish/guide-for-authors
Journal of Monetary Economics,Elsevier,macro,top-field,https://www.sciencedirect.com/journal/journal-of-monetary-economics/publish/guide-for-authors
Journal of Financial Economics,Elsevier,finance,top-field,https://www.sciencedirect.com/journal/journal-of-financial-economics/publish/guide-for-authors
Journal of Finance,Wiley,finance,top-field,https://onlinelibrary.wiley.com/page/journal/15406261/homepage/forauthors.html
Review of Financial Studies,OUP,finance,top-field,https://academic.oup.com/rfs/pages/General_Instructions
Journal of the European Economic Association,OUP,general,top-field,https://academic.oup.com/jeea/pages/General_Instructions
European Economic Review,Elsevier,general,top-field,https://www.sciencedirect.com/journal/european-economic-review/publish/guide-for-authors
Economic Journal,OUP,general,top-field,https://academic.oup.com/ej/pages/General_Instructions
Journal of Econometrics,Elsevier,econometrics,top-field,https://www.sciencedirect.com/journal/journal-of-econometrics/publish/guide-for-authors
Quantitative Economics,Wiley/Econometric Society,econometrics,top-field,https://www.econometricsociety.org/publications/quantitative-economics/information-authors
Theoretical Economics,Econometric Society,theory,top-field,https://www.econometricsociety.org/publications/theoretical-economics/information-authors
Journal of Applied Econometrics,Wiley,econometrics,field,https://onlinelibrary.wiley.com/page/journal/10991255/homepage/forauthors.html
World Development,Elsevier,development,field,https://www.sciencedirect.com/journal/world-development/publish/guide-for-authors
Journal of Development Effectiveness,Taylor & Francis,development,field,https://www.tandfonline.com/action/authorSubmission?journalCode=rjde20&page=instructions
Economic Development and Cultural Change,UChicago Press,development,field,https://www.journals.uchicago.edu/journals/edcc/instruct
Labour Economics,Elsevier,labor,field,https://www.sciencedirect.com/journal/labour-economics/publish/guide-for-authors
Economics of Education Review,Elsevier,education,field,https://www.sciencedirect.com/journal/economics-of-education-review/publish/guide-for-authors
Health Economics,Wiley,health,field,https://onlinelibrary.wiley.com/page/journal/10991050/homepage/forauthors.html
Journal of Urban Economics,Elsevier,urban,field,https://www.sciencedirect.com/journal/journal-of-urban-economics/publish/guide-for-authors
Journal of Environmental Economics and Management,Elsevier,environment,field,https://www.sciencedirect.com/journal/journal-of-environmental-economics-and-management/publish/guide-for-authors
Experimental Economics,Springer,behavioral,field,https://www.springer.com/journal/10683/submission-guidelines
Journal of Economic Behavior and Organization,Elsevier,behavioral,field,https://www.sciencedirect.com/journal/journal-of-economic-behavior-and-organization/publish/guide-for-authors
Games and Economic Behavior,Elsevier,theory,field,https://www.sciencedirect.com/journal/games-and-economic-behavior/publish/guide-for-authors
Journal of Economic Growth,Springer,macro/growth,field,https://www.springer.com/journal/10887/submission-guidelines
Journal of Economic Surveys,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/14676419/homepage/forauthors.html
Economica,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/14680335/homepage/forauthors.html
Oxford Bulletin of Economics and Statistics,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/14680084/homepage/forauthors.html
Canadian Journal of Economics,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/15405982/homepage/forauthors.html
Journal of Policy Analysis and Management,Wiley,policy,field,https://onlinelibrary.wiley.com/page/journal/15206688/homepage/forauthors.html
Journal of Economic Inequality,Springer,inequality,field,https://www.springer.com/journal/10888/submission-guidelines
Economic Inquiry,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/14657295/homepage/forauthors.html
Journal of Population Economics,Springer,labor/demo,field,https://www.springer.com/journal/148/submission-guidelines
Journal of African Economies,OUP,development,field,https://academic.oup.com/jae/pages/General_Instructions
World Bank Economic Review,OUP,development,field,https://academic.oup.com/wber/pages/General_Instructions
IMF Economic Review,Springer,macro/policy,field,https://www.springer.com/journal/41308/submission-guidelines
American Economic Journal: Economic Policy,AEA,policy,top-field,https://www.aeaweb.org/journals/pol/submissions/accepted-articles
Journal of Risk and Uncertainty,Springer,behavioral,field,https://www.springer.com/journal/11166/submission-guidelines
Rand Journal of Economics,Wiley,IO,field,https://onlinelibrary.wiley.com/page/journal/17562171/homepage/forauthors.html
International Economic Review,Wiley,general,field,https://onlinelibrary.wiley.com/page/journal/14682354/homepage/forauthors.html
Journal of Industrial Economics,Wiley,IO,field,https://onlinelibrary.wiley.com/page/journal/14676451/homepage/forauthors.html
Journal of Law and Economics,UChicago Press,law/econ,field,https://www.journals.uchicago.edu/journals/jle/instruct
Journal of Economic Theory,Elsevier,theory,field,https://www.sciencedirect.com/journal/journal-of-economic-theory/publish/guide-for-authors
Review of Economic Dynamics,Elsevier,macro,field,https://www.sciencedirect.com/journal/review-of-economic-dynamics/publish/guide-for-authors
Journal of Comparative Economics,Elsevier,comparative,field,https://www.sciencedirect.com/journal/journal-of-comparative-economics/publish/guide-for-authors
Brookings Papers on Economic Activity,Brookings,macro/policy,field,https://www.brookings.edu/articles/bpea-submission-guidelines/
Journal of Business and Economic Statistics,Taylor & Francis,econometrics,field,https://www.tandfonline.com/action/authorSubmission?journalCode=ubes20&page=instructions
Econometric Reviews,Taylor & Francis,econometrics,field,https://www.tandfonline.com/action/authorSubmission?journalCode=lecr20&page=instructions
