journal_name,publisher,field,tier,url_fetched,fetch_status,ai_language_found,ai_extracts,full_context,num_ai_mentions,publisher_policy_status,publisher_policy_url,inherits_publisher_policy
American Economic Review,AEA,general,top5,https://www.aeaweb.org/journals/aer/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
Quarterly Journal of Economics,OUP,general,top5,https://academic.oup.com/qje/pages/General_Instructions,failed,False,,,0,failed,https://academic.oup.com/pages/authoring/journals/preparing_your_manuscript/ethical-policies,False
Journal of Political Economy,UChicago Press,general,top5,https://www.journals.uchicago.edu/journals/jpe/instruct,failed,False,,,0,failed,https://www.journals.uchicago.edu/journals/policies,False
Econometrica,Wiley/Econometric Society,general,top5,https://www.econometricsociety.org/publications/econometrica/information-authors,success,False,,,0,found,https://www.wiley.com/en-us/publish/article/ai-guidelines/,True
Review of Economic Studies,OUP/Econometric Society,general,top5,https://academic.oup.com/restud/pages/General_Instructions,failed,False,,,0,failed,https://academic.oup.com/pages/authoring/journals/preparing_your_manuscript/ethical-policies,False
AER: Insights,AEA,general,top5-adjacent,https://www.aeaweb.org/journals/aeri/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
AEJ: Applied Economics,AEA,applied,top-field,https://www.aeaweb.org/journals/app/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
AEJ: Economic Policy,AEA,policy,top-field,https://www.aeaweb.org/journals/pol/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
AEJ: Macroeconomics,AEA,macro,top-field,https://www.aeaweb.org/journals/mac/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
AEJ: Microeconomics,AEA,micro,top-field,https://www.aeaweb.org/journals/mic/submissions/accepted-articles,success,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
Journal of Economic Literature,AEA,general,top-field,https://www.aeaweb.org/journals/jel/submissions/accepted-articles,failed,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
Journal of Economic Perspectives,AEA,general,top-field,https://www.aeaweb.org/journals/jep/submissions/accepted-articles,failed,False,,,0,no_ai_language,https://www.aeaweb.org/journals/policies,False
Review of Economics and Statistics,MIT Press,general,top-field,https://direct.mit.edu/rest/pages/submission-guidelines,failed,False,,,0,failed,https://direct.mit.edu/journals/pages/editorial-policies,False
